标题,链接,日期,详情（前50字）
学校召开除险保安和疫情防控专题会议,https://www.zimc.cn/info/1060/40349.htm,2022-09-30,9月30日上午，学校召开除险保安和疫情防控专题会议，校党委书记苏为泽主持会议，学校领导班子成员、学生
全力以赴、同心协力做好学生返校开学各项准备工作,https://www.zimc.cn/info/1060/39965.htm,2022-09-02,9月1日，学校党委书记苏为泽、校长吴中平带队检查、听取各相关部门、二级学院开学准备工作。上午，苏为泽
舟山市法学会海洋经济发展法治研究中心在我校揭牌成立,https://www.zimc.cn/info/1060/40343.htm,2022-09-30,9月28日下午，舟山市海洋经济发展法治论坛在我校行政楼401会议室举行，设在我校马克思主义学院的市法
激活乡村振兴“人才引擎” 农村职业教育大有可为,https://www.zimc.cn/info/1060/40274.htm,2022-09-30,9月28日，舟山市政校共建社区职业学院研讨会在我校召开。校党委委员、副校长，舟山市乡村振兴学院执行副
学校召开数字化改革暨网络安全工作推进会,https://www.zimc.cn/info/1060/40286.htm,2022-09-30,9月29日下午，学校在行政楼401会议室召开数字化改革暨网络安全工作推进会。校党委委员、副校长曹志斌
喜迎二十大 “海德宣讲团”进媒体、进社区、进企业宣讲,https://www.zimc.cn/info/1060/40351.htm,2022-10-09,为迎接党的二十大胜利召开，扎实开展好“实干争先跨越发展”活动，马克思主义学院以学校“扬帆海韵”红色宣
党委书记苏为泽带队深入岱山校区一线走访慰问,https://www.zimc.cn/info/1060/40027.htm,2022-09-07,9月6日，新学期上课第一天，党委书记苏为泽带队，党委委员、副校长夏志刚、办公室副主任杨加力来到岱山校
我校被推选为舟山市人民政协理论研究会会员单位,https://www.zimc.cn/info/1060/40312.htm,2022-10-05,9月29日下午，舟山市人民政协理论研究会第二届第一次会员大会在新城举行。会议审议通过了第一届理事会工
学校召开浙江省高水平航海技术专业群建设现场推进会,https://www.zimc.cn/info/1060/40401.htm,2022-10-16,10月14日上午，学校召开浙江省高水平航海技术专业群建设现场推进会。党委副书记、校长吴中平，副校长李
献礼二十大——我校6个项目成功入选第二批“坦桑尼亚国家职业…,https://www.zimc.cn/info/1060/40424.htm,2022-10-18,10月16日，中非职业教育联盟公布了《关于第二批“坦桑尼亚国家职业标准开发项目”拟立项建设单位》名单
